ID,Tweets,User,Location,Follower Count,Following Count,Number of Tweets,Account Created Date,Account Description,Verified,Favourites Count,Date,Subjectivity,Polarity
1284961772009476097,"Another diabolical #antifa terrorism planning session here on the mean streets of Portland, Oregon. #PortlandProtest https://t.co/381wpngd6l",RetroLance,"Milwaukie, Oregon, USA",180,547,11141,2007-08-13 21:11:14.000000,"Your go to home for Portland politics, transportation planning, comic books, and GI Joe action figure conversation.",False,10740,2020-07-19 21:24:18.547016,0.6875,-0.3125
1284961237621604352,Why don’t we also get tear gas and rubber bullets and see how the cops like them? After all they are less than lethal... #SeattleProtest #portlandprotest,somebiperson,,0,120,59,2020-07-09 00:27:32.000000,,False,116,2020-07-19 21:24:18.548196,0.06666666666666667,-0.16666666666666666
1284960642336620544,Sound familiar?   #BLMprotests  #PortlandGestapo  #portlandprotest   #BLM https://t.co/7r4yH9dh8D,Wispy_Deciduous,,312,490,294,2020-07-13 15:11:16.000000,"A petulant Sociopath, kept in place by the corrupt #CorruptGOP, is at war with over half of America so now I'm back. 🌊🌊🌊 #VoteBlue #Resist #25thAmendmentNOW",False,858,2020-07-19 21:24:18.548196,0.45,0.3875
1284960137938120712,I'll see you all outside the Portland injustice center/federal courthouse tonight! I should get to the cop riot at around 7:00.  Come find us if you need a protest buddy. :) I also have some helmets and shields to give out if you need one! #portlandprotest,RdPirateRoberts,Injustice Center,444,129,559,2020-04-26 14:09:15.000000,Trying to make new friends at the PDX cop riot!,False,835,2020-07-19 21:24:18.548196,0.525,0.3125
1284959934967234560,@ACLU @ACLU_OR False narrative.. DHS was there to take control of the anarchist &amp; antifa not peaceful protester's. Apparently the ACLU has trouble distinguishing between protester's and vandels &amp; thugs #PortlandRIOT  #portlandprotest  #DHS,PeteD_805,Ventura Co. CA. USA,128,607,14408,2009-06-28 00:55:09.000000,,False,15309,2020-07-19 21:24:18.548956,0.41250000000000003,-0.16875000000000004
1284959839865540608,@danzingnumbers @ScottWa91433575 @DHS_Wolf @654321Lady ANYONE still claiming the #portlandprotest is peaceful is just providing misinformation to attract low IQ followers. It's just that simple.,J0E_C4MEL,"Portland, OR - 🤡🌎 USA",55,268,1226,2018-01-14 03:56:52.000000,"US Navy Vet, Patriot, Proud Conservative, Pro #2A, Crypto Currency Enthusiast, F*ck Antifa🖕, #MAGA #KAG #Trump2020",False,1103,2020-07-19 21:24:18.548956,0.38571428571428573,0.08333333333333333
1284959702615388160,Oregon City Officials File Lawsuit against United States Department of Homeland Security. Call Trump a “dictator” whose antics are a “campaign-motivated abuse of power.” #Oregon #OregonProtest #Portland #PortlandProtest #PortlandRiot #PortlandKidnappings  https://t.co/Qyfjk12ueE,TheMyadasTouch,,489,470,117,2019-08-05 01:56:10.000000,Media with equitable and positive representation of marginalized individuals in mind. #RepresentationMatters #WeDoNewsBetter,False,413,2020-07-19 21:24:18.548956,0.0,0.0
1284959520448339968,"You can hire police as event security, and they can arrest people there, right? How much would it take to get someone (@portlandpolice, @MultCoSO, @ORStatePolice, etc) to cross the blue line and arrest federal agent(s) for battery at #portlandprotest? #gofundme for $100k? $1M?",sparr0,"Oakland, CA, USA",375,333,1229,2009-03-10 22:06:21.000000,,False,163,2020-07-19 21:24:18.548956,0.1392857142857143,0.0642857142857143
1284957889145106433,Oregon Attorney General Files Lawsuit Against Department of Homeland Security. State Senators and Congress-Members Call Trump a “Dictator”.   #PortlandKidnapping #Portland #PortlandMoms #PortlandPoliceAssociation #Oregon #BLMPortland #portlandprotest   https://t.co/Qyfjk12ueE,TheMyadasTouch,,489,470,117,2019-08-05 01:56:10.000000,Media with equitable and positive representation of marginalized individuals in mind. #RepresentationMatters #WeDoNewsBetter,False,413,2020-07-19 21:24:18.929793,0.5,0.05000000000000002
1284957856605728768,"If you've ever thanked a soldier for their service, only correct response to this disabled Navy veteran being beaten for peacefully protesting by Trump's secret police is OUTRAGE. Go Navy! #portlandprotest https://t.co/w7D5TFUmMw",kfairwrites,where the streets know my name,4035,4048,14057,2014-09-19 19:31:55.000000,just a nonessential worker standing in front of essential workers & thanking them. she/her,False,17841,2020-07-19 21:24:18.930793,0.5,-0.09
