ID,Tweets,User,Location,Follower Count,Following Count,Number of Tweets,Account Created Date,Account Description,Verified,Favourites Count,Date,Subjectivity,Polarity
1284957267016609792,#DefundThePolice is great for moving the Overton window and the policies it's usually advocating are great policies.  Demand politicians support the reforms. But don't expect them to openly support a slogan that polls badly with 70% of the population in an election year.,hexcrawl,,2347,250,8521,2011-04-27 19:44:42.000000,RPG Producer and Developer at Atlas Games. Creator of the Alexandrian. ENnie Award Winner.,False,4655,2020-07-19 21:04:39.157244,0.5833333333333333,0.13000000000000006
1284957244791099398,@tofuboy43 @pwaiters757 @NYPDnews #DefundHomelandSecurity like you #DefundThePolice for utter lawlessness N theFace of a dict8r @realDonaldTrump bc COWARDS NEVER made America gr8 til they died-LOSERS-by theHundreds of thousands only to infiltr8 American govt &amp; law enforcement 2INSIST #IDOLS of clay pave their way,TheTruthPrevai5,,20,69,4969,2019-06-03 08:02:36.000000,"I am a child of Almighty God: His only begotten son, Jesus Christ, is my Savior",False,1768,2020-07-19 21:04:39.158289,0.6666666666666666,0.0
1284957144937267200,"Here, we see Twitter #Hypocrisy in it's natural habitat:  Twitter: ALL #COPS ARE EVIL BIGOT RACISTS!!!11!1!  Someone: All gay guys like pink  Twitter: EXCUSE ME HOW DARE YOU GENERALIZE A GROUP OF PEOPLE!!!! #copsareoverparty  #DefundThePolice  #BlueLivesMatter  #PoliceLivesMatter",URainbowshine,The Lollipop Junction,33,36,274,2020-02-29 01:31:58.000000,Uniquirk 🌟 She/Her 🌟 Artist 🌟 Heterosexual  Hey? Did you come here to see a sassy Uniquirk? WELL YOU CAME TO THE RIGHT PLACE~! XD,False,581,2020-07-19 21:04:39.158550,0.4666666666666666,-0.14108072916666667
1284957121562513409,The absolutely abhorrent behaviour of @TPSOperations must not go unchecked. #DefundThePolice https://t.co/993Gc2phUd,silly_niss,Toronto,170,282,1015,2009-06-21 11:19:06.000000,Rabble rousing for good. VP Strategic Partnerships and Impact @Dare_Arts All opinions are my own (especially the awkward ones).,False,3103,2020-07-19 21:04:39.158550,0.8,-0.7
1284956860886515712,Here's a video of some of the things that occurred in Portland last night. FUCK THE POLICE. I say that with my entire existence and soul. #AbolishThePolice #DefundThePolice #BlackLivesMatter https://t.co/EMGRBNsUsk,ShearinViveca,"Brooklyn, NY",223,325,38344,2016-04-21 23:48:53.000000,"Project Manager and Editor for @NotAPipePub. Coffee Addict, avid gamer and reader. She/her",False,72207,2020-07-19 21:04:39.159070,0.4305555555555555,-0.13333333333333333
1284956715365158913,Some words of advice to these #antifa and #DefundThePolice protesters. If you don’t like The United States... Get the f**k out. We’re better off without you.,evang120,,2,20,35,2015-06-01 01:57:20.000000,,False,14,2020-07-19 21:04:39.159070,0.5,0.5
1284956540982583296,@AngryMamaBear @pantomath__ @ProjectLincoln Do you want to #DefundThePolice ?  Do you want to release prisoners for #C19?  Do you want to lockup President Trump?  Do you agree that NOT All Cops Are  Bad?  Do you agree we need borders?,CaliRefugee,not California,914,2245,12008,2008-07-01 18:35:41.000000,"Peace and Freedom. Truth, justice, American way. Anti-Fascist. Anti-Racist.",False,6316,2020-07-19 21:04:39.159569,0.6666666666666666,-0.6999999999999998
1284956515082702848,"#DefundThePolice is a conspiracy theory, and as in many religions, someone will always claim to see a bogeyman. https://t.co/7MkAlOH9Z7",bullriders1,"Balboa Peninsula, SoCal USA",1348,66,123941,2012-06-08 04:08:31.000000,"Momo trading in the vicinity of PIMCO and Chipotle $CMG Headquarters, Newport Beach",False,36456,2020-07-19 21:04:39.159569,0.5,0.5
1284956392894263296,@erock25 @TENDEMANDS The truth is rising. We must #DefundThePolice. https://t.co/jVCcK9Z1Ct,hanjangho76,"San Jose, CA",3715,5000,244351,2015-06-19 22:41:12.000000,"Adjutant at the @AmericanLegion Post 642, Santa Clara County Greens Treasurer @SCCGreens, Past Governing Councilor @PublicHealth.",False,366399,2020-07-19 21:04:39.159569,0.0,0.0
1284956236375625730,Like really? What good are you ? #DefundThePolice is cool but also how about we destroy and dismantle the system of policing and build it into one that allows the communities to police themselves.  So we can hold each other accountable and renew the trust needed w/ each other.,sinatra_tha_god,"Charlotte, NC",92,204,439,2020-06-30 05:56:50.000000,Twitter often proves that logical thinking isn’t common.,False,382,2020-07-19 21:04:39.160216,0.3666666666666667,0.13333333333333333
