ID,Tweets,User,Location,Follower Count,Following Count,Number of Tweets,Account Created Date,Account Description,Verified,Favourites Count,Date,Subjectivity,Polarity
1284960026478759937,Looting is unacceptable .. it’s a crime....  👉AMERICA 🇺🇸 is strangling already  👉Worst economy  👉People don’t have job n some of um don’t wanna work n keep looting the store like in video..   THIS NEEDS TO STOP @realDonaldTrump 😡  MAKE AMERICA GREAT AGAIN #MAGA https://t.co/n1shk5TjWi,Peruminati,United States,5836,4506,53164,2019-05-15 12:52:02.000000,I am NOT a financial advisor—#DYOR $PERUCRYPTO ⚠️$TSLA STOCK INVESTORS ⚠️ NOT A MOON BOY ! real talk only .,False,37284,2020-07-19 21:15:24.220268,0.75,0.8
1284959980546854913,You will have a better debate with a pigeon than #MAGA. #MakeAmericaSmartAgain #KnowledgeIsPower https://t.co/LQ0KYeETHs,OurProgressive,"San Francisco, CA",41880,39706,39858,2017-11-29 18:47:40.000000,#Policy #Law #Science #Environment #Nonprofit- #Resist #UniteBlue #Knowledge #Diversity #Equality #Education #FBR @UCBerkeley https://t.co/eAlJ8TP5aL,False,25406,2020-07-19 21:15:24.220268,0.5,0.5
1284959962544902144,"Would any of the fake news media, democrats and BLM marxists comment on #KamalaHarris newly lightened skin color?  Go ahead ..I'll wait... #kamalasface #MAGA #KeepAmericaGreat #Trump2020 https://t.co/0KDsxY9yVx",RealJohnSandor,Brooklyn NY,2082,1954,38655,2011-12-23 00:49:36.000000,#MAGA #KAG God bless America& Pres Trump & our troops 🇺🇸   Followed by Tony Shaffer @T_S_P_O_O_K_Y    Charlie Kirk @charlieKirk11          Harlan Hill @Harlan,False,34742,2020-07-19 21:15:24.221272,0.7272727272727273,-0.18181818181818182
1284959930428977152,"We are not conspiracy theorists. But, WE ARE THE NEWS NOW! #Qanon #WWG1WGA #MAGA #KAGA #TeamTrump https://t.co/BYsME8aMyO",EricDunnUSA,"Oceanside, CA",164,77,632,2015-05-24 01:45:42.000000,PATRIOT WHO LOVES JESUS AND AMERICA 🇺🇸,False,1995,2020-07-19 21:15:24.221272,0.0,0.0
1284959917569388545,None of these vids will play for me?? #BackTheBlue #Trump2020 #MAGA #VoteRedToSaveAmerica https://t.co/ngNv3SGmmv,Fatback017,"Massachusetts, USA",65,64,1677,2018-04-25 10:00:17.000000,"Proud Dad, Retired Firefighter, Reformed Democrat, Boston Bruins Fanatic. #Trump2020 #GOA #GOAL #Comm2A #1A #2A #MAGA #KAG #Walkaway #VoteRed #BlackandGold4ever",False,16742,2020-07-19 21:15:24.221272,0.0,0.0
1284959898376101888,🤣The fact that #MAGA is losing their collective shit at #ChrisWallace for having the nerve to.....just...let...Trump...talk....kinda tells you that even they realize just what an utter shitshow Trump was in that interview....,KTFaye,"California, USA",211,872,15615,2009-01-05 22:34:02.000000,"Seahawks-Packers-Rams-Chiefs-USC Trojans-Dodgers-Angels FanGirl Nerd. Commenting on gullible, willfully ignorant, fuck-wits often proves difficult to resist",False,17344,2020-07-19 21:15:24.221272,0.9,-0.1
1284959894559494145,Here's your #MAGA.   #MAGA2020 #MakeAmericaGreatAgain https://t.co/zihT2IMydN,streetlevelview,,172,466,6214,2009-07-13 13:13:22.000000,...,False,10150,2020-07-19 21:15:24.222272,0.0,0.0
1284959890881024002,"So the magical TigerDog Cold is 90 percent LESS deadly than it was in March, but 25 times MORE deadly in New York State than the global average. Wake up! #qanon #MAGA https://t.co/oMWSt6qi70 https://t.co/gOn56CfWCe",MorninglightWGA,United States,889,1713,3495,2020-03-18 17:36:11.000000,Do you really believe we shut down the global economy over the cold? What is our #InvisibleEnemy? Think Critically! #qanon #MAGA #ObamaGate #WWG1WGA #Cabal,False,2665,2020-07-19 21:15:24.222272,0.47765151515151516,-0.002225378787878783
1284959882769203200,Listening to a conference call from POTUS to the people of North Carolina!!!  I LOVE IT. @realDonaldTrump  #MAGA #KAG #WWG1WGA,ColeBelleMom,"Wake Forest, NC",187,596,5405,2015-10-26 01:52:46.000000,"Mom of teenagers, For God and the USA, #2A, #MAGA, #KAG, Let's take our country back!",False,22881,2020-07-19 21:15:24.222272,0.6,0.5
1284959838565355520,Chris Wallace is wearing a crisp suit. 👍🏼 #ChrisWallaceTrumpInterview #MAGA #FNS #FoxNews #CNN #Election2020,HashtagSpiruli,The Molten Core,731,1106,87358,2014-05-29 03:53:30.000000,The most powerful Tweets in the World!,False,4114,2020-07-19 21:15:24.222272,0.4166666666666667,0.25
